"Corpus","Source","Size","Origine"
"0031_Windows SDK Signing Tools-x86_en-us.msi","C:\ProgramData\Package Cache\{2BCF4E86-E0B2-C9E0-10DC-26935253CF3D}v10.1.19041.5609\Installers\Windows SDK Signing Tools-x86_en-us.msi","462848","PackageCache"
"0032_WinRT Intellisense Desktop - Other Languages-x86_en-us.msi","C:\ProgramData\Package Cache\{2D57E5F2-DE65-816E-0AB4-58E046C34205}v10.1.19041.5609\Installers\WinRT Intellisense Desktop - Other Languages-x86_en-us.msi","606208","PackageCache"
"0033_Universal CRT Extension SDK-x86_en-us.msi","C:\ProgramData\Package Cache\{2D78CDCA-CE1A-6007-089C-E09908F8B1FD}v10.1.19041.5609\Installers\Universal CRT Extension SDK-x86_en-us.msi","454656","PackageCache"
"0034_Windows App Certification Kit SupportedApiList x86-x86_en-us.msi","C:\ProgramData\Package Cache\{2FC6E546-6997-84F3-1877-1F91046B81E1}v10.1.19041.5609\Installers\Windows App Certification Kit SupportedApiList x86-x86_en-us.msi","450560","PackageCache"
"0035_doc.msi","C:\ProgramData\Package Cache\{314BCBA9-14E3-41D1-B9DD-32ADF7EA8C5D}v3.12.7150.0\doc.msi","5746688","PackageCache"
"0036_launcher.msi","C:\ProgramData\Package Cache\{3182A195-B671-44A8-B0C7-7876B916BA5A}v3.12.150.0\launcher.msi","552960","PackageCache"
"0037_vcredist_x86.exe","C:\ProgramData\Package Cache\{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}\vcredist_x86.exe","455720","PackageCache"
"0038_vc_runtimeAdditional_x64.msi","C:\ProgramData\Package Cache\{37B8F9C7-03FB-3253-8781-2517C99D7C00}v11.0.61030\packages\vcRuntimeAdditional_amd64\vc_runtimeAdditional_x64.msi","151552","PackageCache"
"0039_path.msi","C:\ProgramData\Package Cache\{380DEEDA-4227-4F0E-9F7C-34C75649DE59}v3.12.150.0\path.msi","49152","PackageCache"
"0040_c00013b31da3e9d26857397366eafcfa-x64.msi","C:\ProgramData\Package Cache\{385C8F54-C997-46F9-B882-CE5B41B9999F}v81.180.53633\c00013b31da3e9d26857397366eafcfa-x64.msi","638976","PackageCache"
"0041_dotnet-runtime-10.0.9-win-x64.msi","C:\ProgramData\Package Cache\{39F1106B-DDD4-4912-9069-D6491D1142BE}v80.36.53633\dotnet-runtime-10.0.9-win-x64.msi","29458432","PackageCache"
"0042_doc.msi","C:\ProgramData\Package Cache\{3E498CAA-A927-434A-9A52-1C0BAB891020}v3.12.5150.0\doc.msi","5738496","PackageCache"
"0043_27305ae792e3dafc4b1f4c86df2e795f-x64.msi","C:\ProgramData\Package Cache\{3F32E4B1-4A0A-4FA6-9D39-A15A83683EDA}v26.0.11017\27305ae792e3dafc4b1f4c86df2e795f-x64.msi","716800","PackageCache"
"0044_SDK ARM Additions-x86_en-us.msi","C:\ProgramData\Package Cache\{4392AB59-ABB1-2E5F-21DF-0029512F36DD}v10.1.19041.5609\Installers\SDK ARM Additions-x86_en-us.msi","450560","PackageCache"
"0045_LauncherPrereqSetup_x64.exe","C:\ProgramData\Package Cache\{43a03b9c-4770-409c-a999-587b60700b63}\LauncherPrereqSetup_x64.exe","546712","PackageCache"
"0046_Windows SDK DirectX x64 Remote-x64_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK DirectX x64 Remote-x64_en-us.msi","450560","PackageCache"
"0047_Windows SDK DirectX x86 Remote-x86_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK DirectX x86 Remote-x86_en-us.msi","450560","PackageCache"
"0048_Windows SDK for Windows Store Apps DirectX ARM Remote-arm_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK for Windows Store Apps DirectX ARM Remote-arm_en-us.msi","409600","PackageCache"
"0049_Windows SDK for Windows Store Apps DirectX x64 Remote-x64_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK for Windows Store Apps DirectX x64 Remote-x64_en-us.msi","458752","PackageCache"
"0050_Windows SDK for Windows Store Apps DirectX x86 Remote-x86_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK for Windows Store Apps DirectX x86 Remote-x86_en-us.msi","458752","PackageCache"
"0051_Windows SDK Redistributables-x86_en-us.msi","C:\ProgramData\Package Cache\{44C9B7CF-544B-6C2D-0AA9-DBABEE0A1D7B}v10.1.19041.5609\Installers\Windows SDK Redistributables-x86_en-us.msi","454656","PackageCache"
"0052_dotnet-runtime-3.1.22-win-x64.msi","C:\ProgramData\Package Cache\{44D628C6-14F5-48F2-89F9-6C0A5FF2B9F0}v24.88.30721\dotnet-runtime-3.1.22-win-x64.msi","25092096","PackageCache"
"0053_Windows Team Extension SDK Contracts-x86_en-us.msi","C:\ProgramData\Package Cache\{47B777FC-0E69-8326-B50D-FEAB5995B4D6}v10.1.19041.5609\Installers\Windows Team Extension SDK Contracts-x86_en-us.msi","450560","PackageCache"
"0054_exe.msi","C:\ProgramData\Package Cache\{49C6B471-DE43-4ECA-B4F2-2CE5D7BF8F6D}v3.12.5150.0\exe.msi","741376","PackageCache"
"0055_vc_runtimeMinimum_x86.msi","C:\ProgramData\Package Cache\{4BF7CE18-E151-449F-9190-6CDBED0BB4A2}v14.51.36247\packages\vcRuntimeMinimum_x86\vc_runtimeMinimum_x86.msi","204800","PackageCache"
"0056_MSI Development Tools-x86_en-us.msi","C:\ProgramData\Package Cache\{4CDB315B-7D34-AADB-B87D-9C00F56A430D}v10.1.19041.5609\Installers\MSI Development Tools-x86_en-us.msi","450560","PackageCache"
"0057_MsiVal2-x86_en-us.msi","C:\ProgramData\Package Cache\{4CDB315B-7D34-AADB-B87D-9C00F56A430D}v10.1.19041.5609\Installers\MsiVal2-x86_en-us.msi","655360","PackageCache"
"0058_Orca-x86_en-us.msi","C:\ProgramData\Package Cache\{4CDB315B-7D34-AADB-B87D-9C00F56A430D}v10.1.19041.5609\Installers\Orca-x86_en-us.msi","655360","PackageCache"
"0059_NINASetup.msi","C:\ProgramData\Package Cache\{4FBC12EC-03FB-4860-B0A4-99801F409EAA}v3.1.2.9001\NINASetup.msi","160873773","PackageCache"
"0060_Windows App Certification Kit Native Components-x64_en-us.msi","C:\ProgramData\Package Cache\{524581F7-19EF-7567-B516-028842672D5C}v10.1.19041.5609\Installers\Windows App Certification Kit Native Components-x64_en-us.msi","512000","PackageCache"
"0061_WinAppDeploy-x86_en-us.msi","C:\ProgramData\Package Cache\{532B792A-577A-C684-3BE0-8266D973A314}v10.1.19041.5609\Installers\WinAppDeploy-x86_en-us.msi","913408","PackageCache"
"0062_vc_runtimeMinimum_x64.msi","C:\ProgramData\Package Cache\{53CF6934-A98D-3D84-9146-FC4EDF3D5641}v12.0.40664\packages\vcRuntimeMinimum_amd64\vc_runtimeMinimum_x64.msi","143360","PackageCache"
